Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(L1)	
0.112	3.42274	0.245682	0.235708	-0.00317705	0.00317705	0.00317705	0.00317705	
0.1125	3.53553	0.240626	0.229064	-0.00329491	0.00329491	0.00329491	0.00329491	
0.113	3.64484	0.235403	0.222194	-0.00340944	0.00340944	0.00340944	0.00340944	
0.1135	3.75056	0.230019	0.215104	-0.00352054	0.00352054	0.00352054	0.00352054	
0.114	3.85257	0.224477	0.207803	-0.00362809	0.00362809	0.00362809	0.00362809	
0.1145	3.95078	0.218785	0.200296	-0.00373199	0.00373199	0.00373199	0.00373199	
0.115	4.04508	0.212947	0.192592	-0.00383214	0.00383214	0.00383214	0.00383214	
0.1155	4.1354	0.206969	0.184698	-0.00392843	0.00392843	0.00392843	0.00392843	
0.116	4.22164	0.200856	0.176621	-0.00402078	0.00402078	0.00402078	0.00402078	
0.1165	4.30371	0.194616	0.168371	-0.00410909	0.00410909	0.00410909	0.00410909	
0.117	4.38153	0.188254	0.159954	-0.00419328	0.00419328	0.00419328	0.00419328	
0.1175	4.45503	0.181776	0.15138	-0.00427326	0.00427326	0.00427326	0.00427326	
0.118	4.52414	0.175189	0.142656	-0.00434895	0.00434895	0.00434895	0.00434895	
0.1185	4.58877	0.168499	0.133791	-0.00442027	0.00442027	0.00442027	0.00442027	
0.119	4.64888	0.161713	0.124795	-0.00448717	0.00448717	0.00448717	0.00448717	
0.1195	4.7044	0.154837	0.115675	-0.00454957	0.00454957	0.00454957	0.00454957	
0.12	4.75528	0.147878	0.106442	-0.0046074	0.0046074	0.0046074	0.0046074	
0.1205	4.80147	0.140843	0.0971029	-0.00466063	0.00466063	0.00466063	0.00466063	
0.121	4.84292	0.133739	0.0876685	-0.00470918	0.00470918	0.00470918	0.00470918	
0.1215	4.87958	0.126572	0.0781477	-0.00475301	0.00475301	0.00475301	0.00475301	
0.122	4.91144	0.119351	0.0685498	-0.00479209	0.00479209	0.00479209	0.00479209	
0.1225	4.93844	0.112082	0.0588843	-0.00482636	0.00482636	0.00482636	0.00482636	
0.123	4.96057	0.104771	0.0491608	-0.0048558	0.0048558	0.0048558	0.0048558	
0.1235	4.97781	0.0974272	0.0393888	-0.00488038	0.00488038	0.00488038	0.00488038	
0.124	4.99013	0.0900566	0.029578	-0.00490008	0.00490008	0.00490008	0.00490008	
0.1245	4.99753	0.0826667	0.0197381	-0.00491487	0.00491487	0.00491487	0.00491487	
0.125	5	0.0752649	0.00987883	-0.00492474	0.00492474	0.00492474	0.00492474	
0.1255	4.99753	0.0678583	9.85066e-06	-0.00492967	0.00492967	0.00492967	0.00492967	
0.126	4.99013	0.0604542	-0.00985907	-0.00492968	0.00492968	0.00492968	0.00492968	
0.1265	4.97781	0.0530599	-0.0197182	-0.00492475	0.00492475	0.00492475	0.00492475	
0.127	4.96057	0.0456827	-0.0295578	-0.00491489	0.00491489	0.00491489	0.00491489	
0.1275	4.93844	0.0383298	-0.0393681	-0.00490011	0.00490011	0.00490011	0.00490011	
0.128	4.91144	0.0310084	-0.0491396	-0.00488043	0.00488043	0.00488043	0.00488043	
0.1285	4.87958	0.0237257	-0.0588624	-0.00485586	0.00485586	0.00485586	0.00485586	
0.129	4.84292	0.0164889	-0.0685272	-0.00482643	0.00482643	0.00482643	0.00482643	
0.1295	4.80147	0.00930514	-0.0781242	-0.00479216	0.00479216	0.00479216	0.00479216	
0.13	4.75528	0.00218138	-0.087644	-0.0047531	0.0047531	0.0047531	0.0047531	
0.1305	4.7044	-0.00487535	-0.0970773	-0.00470928	0.00470928	0.00470928	0.00470928	
0.131	4.64888	-0.0118581	-0.106415	-0.00466074	0.00466074	0.00466074	0.00466074	
0.1315	4.58877	-0.0187601	-0.115647	-0.00460753	0.00460753	0.00460753	0.00460753	
0.132	4.52414	-0.0255744	-0.124765	-0.00454971	0.00454971	0.00454971	0.00454971	
0.1325	4.45503	-0.0322945	-0.13376	-0.00448733	0.00448733	0.00448733	0.00448733	
0.133	4.38153	-0.0389137	-0.142623	-0.00442045	0.00442045	0.00442045	0.00442045	
0.1335	4.30371	-0.0454255	-0.151345	-0.00434914	0.00434914	0.00434914	0.00434914	
0.134	4.22164	-0.0518235	-0.159918	-0.00427346	0.00427346	0.00427346	0.00427346	
0.1345	4.1354	-0.0581015	-0.168332	-0.0041935	0.0041935	0.0041935	0.0041935	
0.135	4.04508	-0.0642533	-0.176581	-0.00410934	0.00410934	0.00410934	0.00410934	
0.1355	3.95078	-0.0702728	-0.184655	-0.00402105	0.00402105	0.00402105	0.00402105	
0.136	3.85257	-0.0761542	-0.192547	-0.00392872	0.00392872	0.00392872	0.00392872	
0.1365	3.75056	-0.0818916	-0.200249	-0.00383245	0.00383245	0.00383245	0.00383245	
0.137	3.64484	-0.0874795	-0.207753	-0.00373232	0.00373232	0.00373232	0.00373232	
0.1375	3.53553	-0.0929123	-0.215052	-0.00362845	0.00362845	0.00362845	0.00362845	
0.138	3.42274	-0.0981848	-0.222138	-0.00352092	0.00352092	0.00352092	0.00352092	
0.1385	3.30656	-0.103292	-0.229006	-0.00340985	0.00340985	0.00340985	0.00340985	
0.139	3.18712	-0.108228	-0.235647	-0.00329535	0.00329535	0.00329535	0.00329535	
0.1395	3.06454	-0.112989	-0.242056	-0.00317752	0.00317752	0.00317752	0.00317752	
0.14	2.93893	-0.11757	-0.248226	-0.0030565	0.0030565	0.0030565	0.0030565	
0.1405	2.81042	-0.121967	-0.254151	-0.00293238	0.00293238	0.00293238	0.00293238	
0.141	2.67913	-0.126174	-0.259824	-0.00280531	0.00280531	0.00280531	0.00280531	
0.1415	2.54521	-0.130189	-0.265242	-0.0026754	0.0026754	0.0026754	0.0026754	
0.142	2.40877	-0.134007	-0.270397	-0.00254278	0.00254278	0.00254278	0.00254278	
0.1425	2.26995	-0.137624	-0.275286	-0.00240758	0.00240758	0.00240758	0.00240758	
0.143	2.1289	-0.141037	-0.279903	-0.00226993	0.00226993	0.00226993	0.00226993	
