Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0.212	3.42274	0.00551699	-0.00341722	-0.00341722	-0.00341722	
0.213	3.64484	0.00893421	-0.00363591	-0.00363591	-0.00363591	
0.214	3.85257	0.0125701	-0.00384	-0.00384	-0.00384	
0.215	4.04508	0.0164101	-0.00402867	-0.00402867	-0.00402867	
0.216	4.22164	0.0204388	-0.0042012	-0.0042012	-0.0042012	
0.217	4.38153	0.02464	-0.00435689	-0.00435689	-0.00435689	
0.218	4.52414	0.0289969	-0.00449514	-0.00449514	-0.00449514	
0.219	4.64888	0.033492	-0.00461539	-0.00461539	-0.00461539	
0.22	4.75528	0.0381074	-0.00471718	-0.00471718	-0.00471718	
0.221	4.84292	0.0428246	-0.00480009	-0.00480009	-0.00480009	
0.222	4.91144	0.0476247	-0.00486381	-0.00486381	-0.00486381	
0.223	4.96057	0.0524885	-0.00490809	-0.00490809	-0.00490809	
0.224	4.99013	0.0573966	-0.00493274	-0.00493274	-0.00493274	
0.225	5	0.0623293	-0.00493767	-0.00493767	-0.00493767	
0.226	4.99013	0.067267	-0.00492287	-0.00492287	-0.00492287	
0.227	4.96057	0.0721898	-0.00488838	-0.00488838	-0.00488838	
0.228	4.91144	0.0770782	-0.00483436	-0.00483436	-0.00483436	
0.229	4.84292	0.0819126	-0.004761	-0.004761	-0.004761	
0.23	4.75528	0.0866736	-0.00466861	-0.00466861	-0.00466861	
0.231	4.64888	0.0913422	-0.00455754	-0.00455754	-0.00455754	
0.232	4.52414	0.0958997	-0.00442824	-0.00442824	-0.00442824	
0.233	4.38153	0.100328	-0.00428121	-0.00428121	-0.00428121	
0.234	4.22164	0.104609	-0.00411703	-0.00411703	-0.00411703	
0.235	4.04508	0.108726	-0.00393636	-0.00393636	-0.00393636	
0.236	3.85257	0.112663	-0.0037399	-0.0037399	-0.0037399	
0.237	3.64484	0.116402	-0.00352844	-0.00352844	-0.00352844	
0.238	3.42274	0.119931	-0.0033028	-0.0033028	-0.0033028	
0.239	3.18712	0.123234	-0.00306389	-0.00306389	-0.00306389	
0.24	2.93893	0.126298	-0.00281263	-0.00281263	-0.00281263	
0.241	2.67913	0.12911	-0.00255002	-0.00255002	-0.00255002	
0.242	2.40877	0.13166	-0.00227711	-0.00227711	-0.00227711	
0.243	2.1289	0.133937	-0.00199496	-0.00199496	-0.00199496	
0.244	1.84062	0.135932	-0.00170469	-0.00170469	-0.00170469	
0.245	1.54508	0.137637	-0.00140745	-0.00140745	-0.00140745	
0.246	1.24345	0.139044	-0.0011044	-0.0011044	-0.0011044	
0.247	0.936907	0.140149	-0.000796758	-0.000796758	-0.000796758	
0.248	0.626666	0.140946	-0.000485721	-0.000485721	-0.000485721	
0.249	0.313953	0.141431	-0.000172521	-0.000172521	-0.000172521	
0.25	-5.02291e-14	0.141604	0.000141604	0.000141604	0.000141604	
0.251	-0.313953	0.141462	0.000455415	0.000455415	0.000455415	
0.252	-0.626666	0.141007	0.000767673	0.000767673	0.000767673	
0.253	-0.936907	0.140239	0.00107715	0.00107715	0.00107715	
0.254	-1.24345	0.139162	0.00138261	0.00138261	0.00138261	
0.255	-1.54508	0.137779	0.00168286	0.00168286	0.00168286	
0.256	-1.84062	0.136097	0.00197672	0.00197672	0.00197672	
0.257	-2.1289	0.13412	0.00226302	0.00226302	0.00226302	
0.258	-2.40877	0.131857	0.00254063	0.00254063	0.00254063	
0.259	-2.67913	0.129316	0.00280845	0.00280845	0.00280845	
0.26	-2.93893	0.126508	0.00306543	0.00306543	0.00306543	
0.261	-3.18712	0.123442	0.00331056	0.00331056	0.00331056	
0.262	-3.42274	0.120132	0.00354287	0.00354287	0.00354287	
0.263	-3.64484	0.116589	0.00376143	0.00376143	0.00376143	
0.264	-3.85257	0.112827	0.00396539	0.00396539	0.00396539	
0.265	-4.04508	0.108862	0.00415395	0.00415395	0.00415395	
0.266	-4.22164	0.104708	0.00432635	0.00432635	0.00432635	
0.267	-4.38153	0.100382	0.00448192	0.00448192	0.00448192	
0.268	-4.52414	0.0958998	0.00462004	0.00462004	0.00462004	
0.269	-4.64888	0.0912798	0.00474016	0.00474016	0.00474016	
0.27	-4.75528	0.0865397	0.00484182	0.00484182	0.00484182	
0.271	-4.84292	0.0816978	0.00492461	0.00492461	0.00492461	
0.272	-4.91144	0.0767732	0.00498821	0.00498821	0.00498821	
0.273	-4.96057	0.071785	0.00503236	0.00503236	0.00503236	
0.274	-4.99013	0.0667526	0.00505689	0.00505689	0.00505689	
0.275	-5	0.0616958	0.0050617	0.0050617	0.0050617	
0.276	-4.99013	0.0566341	0.00504677	0.00504677	0.00504677	
0.277	-4.96057	0.0515873	0.00501216	0.00501216	0.00501216	
0.278	-4.91144	0.0465751	0.00495801	0.00495801	0.00495801	
0.279	-4.84292	0.0416171	0.00488453	0.00488453	0.00488453	
0.28	-4.75528	0.0367326	0.00479202	0.00479202	0.00479202	
0.281	-4.64888	0.0319406	0.00468082	0.00468082	0.00468082	
0.282	-4.52414	0.0272598	0.0045514	0.0045514	0.0045514	
0.283	-4.38153	0.0227084	0.00440424	0.00440424	0.00440424	
0.284	-4.22164	0.0183041	0.00423994	0.00423994	0.00423994	
0.285	-4.04508	0.0140642	0.00405915	0.00405915	0.00405915	
0.286	-3.85257	0.010005	0.00386257	0.00386257	0.00386257	
0.287	-3.64484	0.00614245	0.00365099	0.00365099	0.00365099	
0.288	-3.42274	0.00249147	0.00342523	0.00342523	0.00342523	
0.289	-3.18712	-0.00093376	0.00318619	0.00318619	0.00318619	
0.29	-2.93893	-0.00411995	0.00293481	0.00293481	0.00293481	
0.291	-2.67913	-0.00705475	0.00267208	0.00267208	0.00267208	
0.292	-2.40877	-0.00972683	0.00239904	0.00239904	0.00239904	
0.293	-2.1289	-0.0121259	0.00211677	0.00211677	0.00211677	
0.294	-1.84062	-0.0142426	0.00182638	0.00182638	0.00182638	
0.295	-1.54508	-0.016069	0.00152902	0.00152902	0.00152902	
0.296	-1.24345	-0.017598	0.00122585	0.00122585	0.00122585	
0.297	-0.936907	-0.0188239	0.000918083	0.000918083	0.000918083	
0.298	-0.626666	-0.019742	0.000606924	0.000606924	0.000606924	
0.299	-0.313953	-0.0203489	0.000293604	0.000293604	0.000293604	
0.3	6.73803e-14	-0.0206425	-2.06425e-05	-2.06425e-05	-2.06425e-05	
0.301	0.313953	-0.0206219	-0.000334574	-0.000334574	-0.000334574	
0.302	0.626666	-0.0202873	-0.000646953	-0.000646953	-0.000646953	
0.303	0.936907	-0.0196403	-0.000956547	-0.000956547	-0.000956547	
0.304	1.24345	-0.0186838	-0.00126213	-0.00126213	-0.00126213	
0.305	1.54508	-0.0174217	-0.00156251	-0.00156251	-0.00156251	
0.306	1.84062	-0.0158591	-0.00185648	-0.00185648	-0.00185648	
0.307	2.1289	-0.0140027	-0.0021429	-0.0021429	-0.0021429	
0.308	2.40877	-0.0118598	-0.00242063	-0.00242063	-0.00242063	
0.309	2.67913	-0.00943914	-0.00268857	-0.00268857	-0.00268857	
0.31	2.93893	-0.00675056	-0.00294568	-0.00294568	-0.00294568	
0.311	3.18712	-0.00380489	-0.00319092	-0.00319092	-0.00319092	
0.312	3.42274	-0.000613961	-0.00342335	-0.00342335	-0.00342335	
0.313	3.64484	0.00280939	-0.00364203	-0.00364203	-0.00364203	
0.314	3.85257	0.00645142	-0.00384611	-0.00384611	-0.00384611	
0.315	4.04508	0.0102975	-0.00403479	-0.00403479	-0.00403479	
0.316	4.22164	0.0143323	-0.00420731	-0.00420731	-0.00420731	
0.317	4.38153	0.0185396	-0.00436299	-0.00436299	-0.00436299	
0.318	4.52414	0.0229026	-0.00450123	-0.00450123	-0.00450123	
0.319	4.64888	0.0274039	-0.00462148	-0.00462148	-0.00462148	
0.32	4.75528	0.0320253	-0.00472326	-0.00472326	-0.00472326	
0.321	4.84292	0.0367486	-0.00480617	-0.00480617	-0.00480617	
