Time	V(N001)	V(N002)	I(V1)	I(R1)	I(L1)	
0.318	4.52414	0.142602	-0.00438153	-0.00438153	-0.00438153	
0.319	4.64888	0.124747	-0.00452414	-0.00452414	-0.00452414	
0.32	4.75528	0.1064	-0.00464888	-0.00464888	-0.00464888	
0.321	4.84292	0.0876332	-0.00475528	-0.00475528	-0.00475528	
0.322	4.91144	0.0685204	-0.00484292	-0.00484292	-0.00484292	
0.323	4.96057	0.0491373	-0.00491144	-0.00491144	-0.00491144	
0.324	4.99013	0.0295601	-0.00496057	-0.00496057	-0.00496057	
0.325	5	0.00986636	-0.00499013	-0.00499013	-0.00499013	
0.326	4.99013	-0.00986636	-0.005	-0.005	-0.005	
0.327	4.96057	-0.0295601	-0.00499013	-0.00499013	-0.00499013	
0.328	4.91144	-0.0491373	-0.00496057	-0.00496057	-0.00496057	
0.329	4.84292	-0.0685204	-0.00491144	-0.00491144	-0.00491144	
0.33	4.75528	-0.0876332	-0.00484292	-0.00484292	-0.00484292	
0.331	4.64888	-0.1064	-0.00475528	-0.00475528	-0.00475528	
0.332	4.52414	-0.124747	-0.00464888	-0.00464888	-0.00464888	
0.333	4.38153	-0.142602	-0.00452414	-0.00452414	-0.00452414	
0.334	4.22164	-0.159894	-0.00438153	-0.00438153	-0.00438153	
0.335	4.04508	-0.176555	-0.00422164	-0.00422164	-0.00422164	
0.336	3.85257	-0.192519	-0.00404508	-0.00404508	-0.00404508	
0.337	3.64484	-0.207723	-0.00385257	-0.00385257	-0.00385257	
0.338	3.42274	-0.222108	-0.00364484	-0.00364484	-0.00364484	
0.339	3.18712	-0.235616	-0.00342274	-0.00342274	-0.00342274	
0.34	2.93893	-0.248194	-0.00318712	-0.00318712	-0.00318712	
0.341	2.67913	-0.259792	-0.00293893	-0.00293893	-0.00293893	
0.342	2.40877	-0.270366	-0.00267913	-0.00267913	-0.00267913	
0.343	2.1289	-0.279872	-0.00240877	-0.00240877	-0.00240877	
0.344	1.84062	-0.288274	-0.0021289	-0.0021289	-0.0021289	
0.345	1.54508	-0.295538	-0.00184062	-0.00184062	-0.00184062	
0.346	1.24345	-0.301636	-0.00154508	-0.00154508	-0.00154508	
0.347	0.936907	-0.306543	-0.00124345	-0.00124345	-0.00124345	
0.348	0.626666	-0.31024	-0.000936907	-0.000936907	-0.000936907	
0.349	0.313953	-0.312714	-0.000626666	-0.000626666	-0.000626666	
0.35	-8.45316e-14	-0.313953	-0.000313953	-0.000313953	-0.000313953	
0.351	-0.313953	-0.313953	5.55112e-17	8.45435e-17	8.45678e-17	
0.352	-0.626666	-0.312714	0.000313953	0.000313953	0.000313953	
0.353	-0.936907	-0.31024	0.000626666	0.000626666	0.000626666	
0.354	-1.24345	-0.306543	0.000936907	0.000936907	0.000936907	
